name,default_value
"node-scheduler.max-fraction-full-nodes-per-query","0.5"
"node-scheduler.max-pending-splits-per-task","10"
"node-scheduler.max-splits-per-node","100"
"node-scheduler.max-unacknowledged-splits-per-task","500"
"node-scheduler.min-candidates","10"
"node-scheduler.allocator-type","BIN_PACKING"
"node-scheduler.policy","UNIFORM"
"node-scheduler.optimized-local-scheduling","true"
"node-scheduler.splits-balancing-policy","STAGE"
"warning-collector.max-warnings","2147483647"
"failure-detector.enabled","true"
"failure-detector.expiration-grace-interval","10.00m"
"failure-detector.threshold","0.1"
"failure-detector.heartbeat-interval","500.00ms"
"failure-detector.warmup-interval","5.00s"
"fault-tolerant-execution-task-memory","4GB"
"fault-tolerant-execution-task-memory-growth-factor","2.0"
"query.low-memory-killer.delay","5.00m"
"query.low-memory-killer.policy","TOTAL_RESERVATION_ON_BLOCKED_NODES"
"query.max-memory","20GB"
"query.max-total-memory","40GB"
"memory.heap-headroom-per-node","322122547B"
"query.max-memory-per-node","322122547B"
"catalog.config-dir","etc/catalog"
"catalog.disabled-catalogs","----"
"exchange.acknowledge-pages","true"
"exchange.client-threads","25"
"exchange.concurrent-request-multiplier","3"
"exchange.deduplication-buffer-size","32MB"
"exchange.max-buffer-size","32MB"
"exchange.max-error-duration","5.00m"
"exchange.max-response-size","16MB"
"exchange.min-error-duration","5.00m"
"exchange.page-buffer-client.max-callback-threads","25"
"access-control.config-files","[]"
"discovery-server.enabled","true"
"internal-communication.http2.enabled","false"
"internal-communication.https.required","false"
"internal-communication.https.keystore.key","[REDACTED]"
"internal-communication.https.keystore.path","----"
"internal-communication.shared-secret","[REDACTED]"
"internal-communication.https.truststore.key","[REDACTED]"
"internal-communication.https.truststore.path","----"
"jmx.base-name","trino"
"protocol.v1.alternate-header-name","----"
"protocol.v1.prepared-statement-compression.min-gain","512"
"protocol.v1.prepared-statement-compression.length-threshold","2048"
"experimental.concurrent-startup","false"
"coordinator","true"
"shutdown.grace-period","2.00m"
"http.include-exception-in-response","true"
"query.info-url-template","----"
"query-results.compression-enabled","true"
"plugin.dir","plugin"
"http-server.authentication.insecure.user-mapping.file","----"
"http-server.authentication.insecure.user-mapping.pattern","----"
"http-server.authentication.type","[insecure]"
"management.user","----"
"management.user.https-enabled","false"
"http-server.authentication.allow-insecure-over-http","true"
"web-ui.session-timeout","1.00d"
"web-ui.shared-secret","----"
"web-ui.authentication.type","----"
"web-ui.enabled","true"
"max-spill-per-node","100GB"
"query-max-spill-per-node","100GB"
"spill-compression-enabled","false"
"spill-encryption-enabled","false"
"sql.default-catalog","----"
"sql.default-schema","----"
"sql.forced-session-time-zone","----"
"sql.path","----"
"compiler.expression-cache-size","10000"
"adaptive-partial-aggregation.enabled","true"
"adaptive-partial-aggregation.min-rows","100000"
"adaptive-partial-aggregation.unique-rows-ratio-threshold","0.8"
"collect-plan-statistics-for-all-queries","false"
"colocated-joins-enabled","false"
"optimizer.complex-expression-pushdown.enabled","true"
"cpu-cost-weight","75.0"
"optimizer.default-filter-factor-enabled","false"
"optimizer.dictionary-aggregation","false"
"distributed-index-joins-enabled","false"
"distributed-sort","true"
"enable-forced-exchange-below-group-id","true"
"optimizer.enable-intermediate-aggregations","false"
"enable-stats-calculator","true"
"optimizer.filter-conjunction-independence-factor","0.75"
"optimizer.force-single-node-output","true"
"optimizer.ignore-downstream-preferences","false"
"optimizer.ignore-stats-calculator-failures","true"
"iterative-optimizer-timeout","3.00m"
"join-distribution-type","AUTOMATIC"
"join-max-broadcast-table-size","100MB"
"optimizer.join-multi-clause-independence-factor","0.25"
"optimizer.join-reordering-strategy","AUTOMATIC"
"optimizer.max-reordered-joins","9"
"memory-cost-weight","10.0"
"optimizer.merge-project-with-values","true"
"network-cost-weight","15.0"
"optimizer.non-estimatable-predicate-approximation.enabled","true"
"optimizer.optimize-duplicate-insensitive-joins","true"
"optimizer.optimize-hash-generation","true"
"optimizer.optimize-metadata-queries","false"
"optimizer.optimize-mixed-distinct-aggregations","false"
"optimizer.optimize-top-n-ranking","true"
"optimizer.predicate-pushdown-use-table-properties","true"
"optimizer.prefer-partial-aggregation","true"
"preferred-write-partitioning-min-number-of-partitions","50"
"optimizer.push-aggregation-through-outer-join","true"
"optimizer.push-partial-aggregation-through-join","false"
"optimizer.push-table-write-through-union","true"
"optimizer.rewrite-filtering-semi-join-to-inner-join","true"
"optimizer.skip-redundant-sort","true"
"spatial-joins-enabled","true"
"statistics-precalculation-for-pushdown.enabled","true"
"optimizer.table-scan-node-partitioning-min-bucket-to-task-ratio","0.5"
"optimizer.use-legacy-window-filter-pushdown","false"
"optimizer.use-mark-distinct","true"
"use-preferred-write-partitioning","true"
"optimizer.use-table-scan-node-partitioning","true"
"transaction.idle-check-interval","1.00m"
"transaction.idle-timeout","5.00m"
"transaction.max-finishing-concurrency","1"
"memory.enable-lazy-dynamic-filtering","true"
"memory.max-data-per-node","128MB"
"memory.splits-per-node","6"
"jmx.dump-period","10.00s"
"jmx.dump-tables","[]"
"jmx.max-entries","86400"
